number,value,datetime_start,datetime_complete,duration,params_A2C_n_steps,params_gamma,params_learning_rate,params_vf_coef,state
86,-0.1,2023-12-12 07:15:33.799943,2023-12-12 07:16:52.161854,0 days 00:01:18.361911,241,0.9887044379882242,0.0008955176989142565,0.4512175790155793,COMPLETE
87,-0.8,2023-12-12 07:16:52.169856,2023-12-12 07:18:07.439075,0 days 00:01:15.269219,474,0.9975443897249717,0.0034050513722432836,0.4816390668747988,COMPLETE
88,-0.5,2023-12-12 07:18:07.448078,2023-12-12 07:19:23.759289,0 days 00:01:16.311211,386,0.9829558411384894,0.0016337713092943833,0.49219193409755446,COMPLETE
89,-0.2,2023-12-12 07:19:23.766290,2023-12-12 07:20:40.012117,0 days 00:01:16.245827,362,0.9776275591798611,0.0012096285127500463,0.42107634297028995,COMPLETE
90,-0.3,2023-12-12 07:20:40.019229,2023-12-12 07:21:56.627799,0 days 00:01:16.608570,342,0.9946332064216556,0.004491651913877122,0.43785012743147456,COMPLETE
91,-0.3,2023-12-12 07:21:56.635800,2023-12-12 07:23:13.775157,0 days 00:01:17.139357,331,0.9902298922904252,0.002051642628554893,0.4667907449652766,COMPLETE
92,-0.7,2023-12-12 07:23:13.782157,2023-12-12 07:24:31.113198,0 days 00:01:17.331041,286,0.9881708223607037,0.002084668195566498,0.4749242739523836,COMPLETE
93,-0.5,2023-12-12 07:24:31.121199,2023-12-12 07:25:48.946266,0 days 00:01:17.825067,298,0.9925433885059594,0.0018861819230434763,0.4620042379291727,COMPLETE
94,-0.5,2023-12-12 07:25:48.954268,2023-12-12 07:27:08.132680,0 days 00:01:19.178412,168,0.9855158803237539,0.0015522656168918728,0.45644882549219445,COMPLETE
95,-0.0,2023-12-12 07:27:08.141682,2023-12-12 07:28:25.326347,0 days 00:01:17.184665,327,0.9898862925876982,0.0023738251382131566,0.49206941652870984,COMPLETE
96,-0.2,2023-12-12 07:28:25.334453,2023-12-12 07:29:41.160936,0 days 00:01:15.826483,423,0.9959413437103896,0.0028335364992854474,0.4732138189714227,COMPLETE
97,-0.4,2023-12-12 07:29:41.168177,2023-12-12 07:30:57.983752,0 days 00:01:16.815575,367,0.9811777757228399,0.0011042478440271973,0.44311839755115007,COMPLETE
98,-0.9,2023-12-12 07:30:57.990753,2023-12-12 07:32:16.703988,0 days 00:01:18.713235,219,0.9979042299065704,0.0013973782911443178,0.48235644760855895,COMPLETE
99,-0.0,2023-12-12 07:32:16.712991,2023-12-12 07:33:35.623986,0 days 00:01:18.910995,202,0.9982797020945716,0.001303409995577726,0.4848173639980629,COMPLETE
