number,value,datetime_start,datetime_complete,duration,params_A2C_n_steps,params_gamma,params_learning_rate,params_vf_coef,state
72,-135.4,2023-12-11 23:26:45.219159,2023-12-11 23:27:55.683387,0 days 00:01:10.464228,443,0.9622164052960681,0.005459767401270879,0.4938123225781725,COMPLETE
73,-500.0,2023-12-11 23:27:55.691389,2023-12-11 23:29:08.844722,0 days 00:01:13.153333,356,0.9673838438667923,0.0032598821277370045,0.4788137927668188,COMPLETE
74,-184.3,2023-12-11 23:29:08.851712,2023-12-11 23:30:19.680344,0 days 00:01:10.828632,480,0.9610251222648478,0.004539950125517009,0.45411832324561163,COMPLETE
75,-500.0,2023-12-11 23:30:19.688347,2023-12-11 23:31:32.059044,0 days 00:01:12.370697,405,0.9568538633301473,0.0026712023603229942,0.4150403445972484,COMPLETE
76,-191.2,2023-12-11 23:31:32.066035,2023-12-11 23:32:43.837636,0 days 00:01:11.771601,393,0.9271356623860862,0.0012737597866797452,0.3803040633727045,COMPLETE
77,-254.3,2023-12-11 23:32:43.844638,2023-12-11 23:33:55.175928,0 days 00:01:11.331290,458,0.9705018044012674,0.002219983434068357,0.43474749294947684,COMPLETE
78,-325.7,2023-12-11 23:33:55.182995,2023-12-11 23:35:12.243934,0 days 00:01:17.060939,85,0.930445492096452,0.0009384245767421816,0.3665108861671902,COMPLETE
79,-455.0,2023-12-11 23:35:12.252444,2023-12-11 23:36:32.101429,0 days 00:01:19.848985,53,0.9650771632255449,0.001492372413706998,0.39402932684777425,COMPLETE
80,-265.4,2023-12-11 23:36:32.110724,2023-12-11 23:37:46.482618,0 days 00:01:14.371894,139,0.9535489432942406,0.008073261252916299,0.463783767274461,COMPLETE
81,-500.0,2023-12-11 23:37:46.489658,2023-12-11 23:38:58.814661,0 days 00:01:12.325003,471,0.9689980535005038,0.006226657915499764,0.3366106504084261,COMPLETE
82,-367.7,2023-12-11 23:38:58.822732,2023-12-11 23:40:10.176181,0 days 00:01:11.353449,483,0.9752402928636719,0.00399777986115629,0.34985136683365214,COMPLETE
83,-500.0,2023-12-11 23:40:10.184247,2023-12-11 23:41:22.596539,0 days 00:01:12.412292,442,0.9734722418598329,0.00742312205962127,0.48197953871585497,COMPLETE
84,-500.0,2023-12-11 23:41:22.603583,2023-12-11 23:42:34.336282,0 days 00:01:11.732699,500,0.9777792929781436,0.005070235876173021,0.3359712840186621,COMPLETE
85,-500.0,2023-12-11 23:42:34.344365,2023-12-11 23:43:46.702188,0 days 00:01:12.357823,419,0.9656162076541458,0.009985360450300315,0.3580221847041499,COMPLETE
86,-500.0,2023-12-11 23:43:46.710191,2023-12-11 23:45:01.868815,0 days 00:01:15.158624,211,0.9636507264604599,0.003909554295018211,0.3204877398970941,COMPLETE
87,-500.0,2023-12-11 23:45:01.875816,2023-12-11 23:46:14.305378,0 days 00:01:12.429562,466,0.9726259692507153,0.006440898779858795,0.3095725364396784,COMPLETE
88,-174.7,2023-12-11 23:46:14.312422,2023-12-11 23:47:41.502278,0 days 00:01:27.189856,23,0.933063619250322,0.0032990446345592295,0.49663600446099193,COMPLETE
89,-500.0,2023-12-11 23:47:41.509571,2023-12-11 23:48:53.225590,0 days 00:01:11.716019,486,0.9386568581821043,0.0023343236178200244,0.40007276193481306,COMPLETE
90,-500.0,2023-12-11 23:48:53.232713,2023-12-11 23:50:07.504167,0 days 00:01:14.271454,263,0.9706539527992702,0.0018641921601014566,0.3768919983327042,COMPLETE
91,-500.0,2023-12-11 23:50:07.512159,2023-12-11 23:51:26.053374,0 days 00:01:18.541215,68,0.94734965679064,0.0011641169276634937,0.4107094365227001,COMPLETE
92,-500.0,2023-12-11 23:51:26.060375,2023-12-11 23:52:41.611503,0 days 00:01:15.551128,136,0.9426715930717763,0.0007789799708357367,0.4440479313931875,COMPLETE
93,-500.0,2023-12-11 23:52:41.619669,2023-12-11 23:53:57.031024,0 days 00:01:15.411355,151,0.9507493697859853,0.0016002797218783403,0.4265501645609074,COMPLETE
94,-500.0,2023-12-11 23:53:57.038118,2023-12-11 23:55:13.481580,0 days 00:01:16.443462,112,0.9365219153409421,0.0010434939839611538,0.3466020678616393,COMPLETE
95,-500.0,2023-12-11 23:55:13.489656,2023-12-11 23:56:30.681109,0 days 00:01:17.191453,94,0.9588489671886653,0.0017518221356723777,0.41761640893910823,COMPLETE
96,-250.9,2023-12-11 23:56:30.687181,2023-12-11 23:57:41.714135,0 days 00:01:11.026954,434,0.9542736622038501,0.0027368807486642813,0.3927828672819121,COMPLETE
97,-449.4,2023-12-11 23:57:41.722138,2023-12-11 23:58:56.447980,0 days 00:01:14.725842,169,0.9614202055840785,0.000540068585110199,0.32863872534793515,COMPLETE
98,-500.0,2023-12-11 23:58:56.456972,2023-12-12 00:00:08.863949,0 days 00:01:12.406977,458,0.9656609259442094,0.0012824689080009242,0.3631799762275339,COMPLETE
99,-500.0,2023-12-12 00:00:08.871943,2023-12-12 00:01:30.988258,0 days 00:01:22.116315,39,0.9750347373946544,0.0031678447108215435,0.38319155117572223,COMPLETE
