number,value,datetime_start,datetime_complete,duration,params_A2C_n_steps,params_gamma,params_learning_rate,params_vf_coef,state,Environment,Agent,params_exploration_fraction,params_target_update_interval,params_PPO_n_steps,params_ent_coef
52,-473.4,2023-12-11 23:02:23.415675,2023-12-11 23:03:35.636803,0 days 00:01:12.221128,475.0,0.9685068782771264,0.0069209839754035,0.4612791810659959,COMPLETE,CartPole-v1,A2C,,,,
53,-500.0,2023-12-11 23:03:35.644795,2023-12-11 23:04:47.505001,0 days 00:01:11.860206,481.0,0.9569559166975417,0.0036792647063828,0.4727611855822966,COMPLETE,CartPole-v1,A2C,,,,
54,-9.0,2023-12-11 23:04:47.512993,2023-12-11 23:05:58.803695,0 days 00:01:11.290702,327.0,0.9724476732941482,0.0046525212037462,0.4008932656230294,COMPLETE,CartPole-v1,A2C,,,,
55,-500.0,2023-12-11 23:05:58.811701,2023-12-11 23:07:10.946617,0 days 00:01:12.134916,430.0,0.9632065193543036,0.0029396237865447,0.3726963621393658,COMPLETE,CartPole-v1,A2C,,,,
56,-500.0,2023-12-11 23:07:10.953633,2023-12-11 23:08:25.908729,0 days 00:01:14.955096,187.0,0.9522763356220584,0.0014153396869915,0.429924230207131,COMPLETE,CartPole-v1,A2C,,,,
57,-500.0,2023-12-11 23:08:25.915720,2023-12-11 23:09:37.889327,0 days 00:01:11.973607,459.0,0.9779103248134824,0.0028406372854961,0.4070674914873713,COMPLETE,CartPole-v1,A2C,,,,
58,-137.5,2023-12-11 23:09:37.896320,2023-12-11 23:10:48.868731,0 days 00:01:10.972411,431.0,0.9801340330887686,0.0090245201665039,0.2987054277797268,COMPLETE,CartPole-v1,A2C,,,,
59,-500.0,2023-12-11 23:10:48.875731,2023-12-11 23:12:02.079980,0 days 00:01:13.204249,379.0,0.97095101312323,0.0058932408934286,0.3473535156713362,COMPLETE,CartPole-v1,A2C,,,,
60,-500.0,2023-12-11 23:12:02.088058,2023-12-11 23:13:20.567497,0 days 00:01:18.479439,64.0,0.9595266836266144,0.0019911632429463,0.3242525430126625,COMPLETE,CartPole-v1,A2C,,,,
61,-500.0,2023-12-11 23:13:20.574489,2023-12-11 23:14:32.550353,0 days 00:01:11.975864,498.0,0.96648950477798,0.0019405460078491,0.4226489728776092,COMPLETE,CartPole-v1,A2C,,,,
